Number of components in total: 639196
Size	Frequency
2	348082
3	92351
4	40539
5	24399
6	16669
7	12723
8	10025
9	8086
10	6703
11	5726
12	5006
13	4348
14	3917
15	3596
16	3172
17	2881
18	2727
19	2503
20	2238
21	2128
22	1903
23	1734
24	1698
25	1601
26	1570
27	1398
28	1312
29	1253
30	1205
31	1109
32	1017
33	1022
34	958
35	893
36	818
37	791
38	783
39	718
40	694
41	652
42	639
43	573
44	604
45	564
46	518
47	530
48	532
49	481
1073	1
50	426
51	406
52	417
53	382
54	387
55	358
56	365
57	357
58	330
59	330
60	305
61	243
62	295
63	275
64	262
65	221
66	262
67	230
68	236
69	212
70	210
71	182
72	183
73	180
74	214
75	172
76	170
77	181
78	157
79	153
80	139
81	138
82	114
83	116
84	123
85	120
86	124
87	101
88	138
89	133
90	112
91	101
92	89
93	86
94	98
95	92
96	89
97	97
98	85
99	96
100	93
101	86
102	68
103	78
104	81
105	62
106	62
107	65
108	46
109	57
110	53
111	53
112	58
113	55
114	59
115	56
116	69
117	48
118	59
119	44
120	48
121	53
122	44
123	39
124	33
125	44
126	44
127	32
128	33
129	29
130	41
131	34
132	34
133	41
134	28
135	27
136	37
137	30
138	33
139	26
140	27
141	28
142	32
143	28
144	25
145	28
146	26
147	20
148	35
149	26
150	15
151	13
152	17
153	34
154	20
155	22
156	20
157	17
158	21
159	16
160	12
161	22
162	22
163	19
164	14
165	20
166	9
167	13
168	17
169	12
170	16
171	10
172	14
173	14
174	8
175	11
176	18
177	7
178	9
179	17
180	10
181	6
182	11
183	11
184	7
185	11
186	13
187	14
188	11
189	10
190	14
191	10
192	9
193	11
194	8
195	10
196	9
197	13
198	11
199	9
200	5
201	4
202	7
203	6
204	10
205	7
206	6
207	9
208	9
209	5
210	9
211	10
212	7
213	11
214	6
215	3
216	10
217	4
218	6
219	4
220	10
221	6
222	5
223	7
224	4
225	9
226	3
227	7
228	4
229	5
230	3
231	3
232	7
233	3
234	5
235	3
236	4
237	5
238	3
239	4
240	3
241	7
242	5
243	6
244	3
245	3
246	1
247	3
248	5
249	6
250	5
251	2
252	5
253	2
254	2
255	5
256	2
257	3
258	1
259	1
260	4
1285	1
261	3
262	5
263	4
264	4
265	4
266	3
267	2
268	3
269	3
271	2
272	4
273	3
274	1
275	1
276	2
277	4
278	2
279	2
280	1
281	1
282	3
283	5
284	2
285	2
286	1
287	1
288	2
289	1
290	3
291	2
292	2
293	3
294	2
295	1
296	6
297	3
298	2
5161317	1
299	1
300	4
301	1
302	1
303	2
304	2
305	1
307	3
308	1
310	2
311	2
313	3
314	1
316	4
320	2
321	4
323	2
324	2
326	4
327	3
329	1
330	2
331	3
332	2
333	2
334	1
335	1
336	3
337	1
338	2
339	1
341	4
342	1
343	1
344	2
347	1
349	1
351	1
353	1
356	1
359	3
360	1
363	1
365	2
367	1
369	1
373	4
374	1
375	1
377	3
379	1
380	3
381	2
383	1
385	1
386	1
387	1
389	1
391	1
394	1
395	1
397	1
400	1
403	1
405	1
406	3
408	3
415	2
418	1
422	1
423	1
424	1
428	1
429	1
441	1
452	1
453	1
455	1
458	1
459	1
467	1
474	1
475	1
478	1
480	2
481	1
499	2
523	1
525	1
533	1
537	1
542	1
543	2
558	1
568	1
592	1
609	1
613	1
653	1
655	1
669	1
686	1
746	1
747	1
949	1
