Degree	Frequency
1	2111280
2	1445603
3	1125733
4	898644
5	720448
6	575251
7	459622
8	367598
9	293186
10	234491
11	189487
12	153476
13	124310
14	102637
15	83830
16	69519
17	58294
18	48933
19	41216
20	34806
21	29623
22	25300
23	21823
24	18910
25	16228
26	14196
27	12104
28	10854
29	9406
30	8571
31	7597
32	6686
33	5964
34	5393
35	4849
36	4495
37	4058
38	3833
39	3597
40	3228
41	3113
42	2905
43	2674
44	2549
45	2523
46	2334
47	2246
48	2140
49	2035
50	1900
51	1803
52	1745
53	1712
54	1664
55	1633
56	1532
57	1480
58	1496
59	1437
60	1422
61	1296
62	1253
63	1251
64	1239
65	1178
66	1224
67	1161
68	1136
69	1135
70	1011
71	1063
72	997
73	1008
74	984
75	930
76	960
77	931
78	909
79	894
80	860
81	892
82	802
83	781
84	790
85	829
86	739
87	760
88	737
89	745
90	715
91	749
92	721
93	751
94	675
95	666
96	637
97	676
98	649
99	632
100	659
101	626
102	623
103	615
104	640
105	593
106	595
107	628
108	589
109	536
110	529
111	587
112	533
113	561
114	577
115	575
116	527
117	521
118	518
119	547
120	538
121	562
122	526
123	501
124	542
125	534
126	514
127	489
128	484
129	452
130	475
131	444
132	511
133	452
134	448
135	458
136	439
137	440
138	442
139	437
140	440
141	447
142	418
143	415
144	461
145	399
146	433
147	430
148	415
149	434
150	435
151	425
152	402
153	365
154	414
155	415
156	419
157	420
158	429
159	410
160	399
161	405
162	356
163	372
164	379
165	396
166	351
167	374
168	397
169	381
170	356
171	354
172	349
173	374
174	396
175	361
176	375
177	394
178	326
179	355
180	340
181	336
182	331
183	358
184	334
185	382
186	361
187	348
188	383
189	327
190	360
191	352
192	358
193	352
194	343
195	334
196	346
197	341
198	346
199	309
200	324
201	359
202	331
203	330
204	298
205	313
206	317
207	319
208	347
209	315
210	304
211	304
212	320
213	286
214	331
215	296
216	303
217	318
218	289
219	278
220	329
221	297
222	325
223	334
224	261
225	301
226	295
227	290
228	279
229	275
230	295
231	262
232	300
233	247
234	271
235	268
236	304
237	291
238	263
239	265
240	260
241	280
242	296
243	264
244	282
245	279
246	270
247	293
248	313
249	283
250	295
251	255
252	288
253	295
254	301
255	265
256	289
257	302
258	291
259	306
260	272
261	288
262	300
263	257
264	300
265	238
266	253
267	259
268	284
269	256
270	257
271	270
272	253
273	279
274	238
275	246
276	246
277	263
278	257
279	217
280	297
281	275
282	241
283	234
284	279
285	215
286	262
287	257
288	243
289	250
290	232
291	219
292	232
293	227
294	195
295	253
296	216
297	235
298	213
299	225
300	237
301	231
